name,sex,house,killedBy,image
Bran Stark,male,Stark,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1._SX100_SY140_.jpg
Brant,male,NA,NA,NA
Bronn,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1._SX100_SY140_.jpg
Brothel Customer,male,NA,NA,NA
Brothel Guard,male,NA,NA,NA
Brother Ray,male,NA,Lem Lemoncloak,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1._SX100_SY140_.jpg
Brusco,male,NA,NA,NA
Brynden Tully,male,Tully,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Camello,male,NA,NA,NA
Captain of the Archers,male,NA,NA,NA
Catspaw Assassin,male,NA,Summer,NA
Citadel Maester,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NDA1Nzc5Nl5BMl5BanBnXkFtZTgwMjIwNTgyOTE@._V1._SX100_SY140_.jpg
Clarenzo,male,NA,NA,NA
Cley Cerwyn,male,NA,NA,NA
Colen of Greenpools,male,NA,NA,NA
Cooper,male,NA,NA,NA
Craster,male,NA,Karl Tanner,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Daario Naharis,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg
Dagmer Cleftjaw,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Davos Seaworth,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1._SX100_SY140_.jpg
Denys Mallister,male,NA,NA,NA
Derek,male,NA,NA,NA
Desmond Crakehall,male,NA,NA,NA
Despondent Man,male,NA,NA,NA
Dickon Tarly,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Dim Dalba,male,NA,NA,NA
Dongo the Giant,male,NA,Night's Watchman,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
Donnel Hill,male,NA,NA,NA
Donnel Waynwood,male,NA,NA,NA
Dontos Hollard,male,NA,Petyr Baelish,https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Doran Martell,male,Martell,Ellaria Sand,https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
Dornish Lord,male,NA,NA,NA
Dothraki Bloodrider #1,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1._SX100_SY140_.jpg
Dothraki Bloodrider #2,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzk1MzczMl5BMl5BanBnXkFtZTgwNDQyODAxODE@._V1._SX100_SY140_.jpg
Dothraki Man Having Sex,male,NA,NA,NA
Drennan,male,NA,Osha,NA
Drogon,male,Targaryen,NA,NA
Drowned Priest,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOGEwMjRhYzgtYjY1YS00MjhlLTllYjYtNWQzOGQxOTE3ZDczXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Dwarf Hunter #1,male,NA,NA,NA
Dwarf Hunter #2,male,NA,NA,NA
Eddard Stark,male,Stark,Ilyn Payne,https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1._SX100_SY140_.jpg
Eddison Tollett,male,NA,Wight,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1._SX100_SY140_.jpg
Edmure Tully,male,Tully,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Elder Meereen Slave,male,NA,NA,NA
Eldrick Sarsfield,male,NA,NA,NA
Euron Greyjoy,male,Greyjoy,Jaime Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Eyrie Guard,male,NA,NA,NA
Faceless Man,male,NA,NA,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4ODYxODI0MF5BMl5BanBnXkFtZTgwMDk4NDY0NTE@._V1_UX214_CR0,0,214,317_AL_.jpg"
Faith Militant #1,male,NA,NA,NA
Faith Militant #2,male,NA,NA,NA
Farlen,male,NA,NA,NA
Farmer Hamlet,male,NA,NA,NA
Fennesz,male,NA,NA,NA
Fergus,male,NA,NA,NA
First Mate,male,NA,NA,NA
Frey Guard,male,NA,NA,NA
Frey Soldier #1,male,NA,NA,NA
Frey Soldier #2,male,NA,NA,NA
Fruit Vendor,male,NA,NA,NA
Gared,male,NA,White Walker,https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Gatins,male,NA,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BNzIwZmJkNDktZWMwMC00ZGNlLWJkNWYtN2ZmOWEzNDFiNWMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Gendry,male,Baratheon,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzYwMTk4MV5BMl5BanBnXkFtZTcwNDg1ODg4OQ@@._V1._SX100_SY140_.jpg
Gerard,male,NA,NA,NA
Gerold Hightower,male,NA,Eddard Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BODc3OTIzYmEtYjk2Yy00NTgwLTk4OWMtMjlmMmJmNDE5OGU2XkEyXkFqcGdeQXVyNjU5MTM2ODI@._V1._SX100_SY140_.jpg
Ghost,male,Stark,NA,NA
Goatherd,male,NA,NA,NA
Goatherd's Son,male,NA,NA,NA
Goldcloak,male,NA,NA,NA
Goldcloak,male,NA,NA,NA
Gordy,male,NA,NA,NA
Grand Maester Pycelle,male,NA,Little Birds,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNDA4MzQ3MF5BMl5BanBnXkFtZTcwNTM3ODg4OQ@@._V1._SX100_SY140_.jpg
Great Master #1,male,NA,Rebel Slaves/Viserion/Rhaegal,NA
Great Master #2,male,NA,NA,NA
Great Master #3,male,NA,NA,NA
Great Master #4,male,NA,NA,NA
Great Master #5,male,NA,NA,NA
Great Master #6,male,NA,NA,NA
Great Master #7,male,NA,NA,NA
Greatjon Umber,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VjMTM4OTItMDUxMi00N2NiLThhMWMtNGNhMDQ4OGJhOWU0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Gregor Clegane,male,NA,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3OTg2MTM2MF5BMl5BanBnXkFtZTcwNDk1NzE5OQ@@._V1._SX100_SY140_.jpg
Greizhen mo Ullhor,male,NA,Unsullied,https://images-na.ssl-images-amazon.com/images/M/MV5BMmYwNjBkZDItZmQyNi00MjhiLWFhMjYtNzk3YWJmMzJhZTFkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Grenn,male,NA,Mag the Mighty,https://images-na.ssl-images-amazon.com/images/M/MV5BMzkzOTI0NjM3MV5BMl5BanBnXkFtZTcwMTY3ODg4OQ@@._V1._SX100_SY140_.jpg
Grey Wind,male,Stark,Frey Crossbowmen,NA
Grey Worm,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMjk3ZDJlNTQtZDBiMC00ODVhLTlmYmYtYzkxMDA0N2QxNDY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Guymon,male,NA,NA,NA
Hallyne,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg4YzNjMzMtYzk4OS00NTEwLWE1NWItYjMyODViNTQ4YmUxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Harald Karstark,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE4OTIwNWQtZjNkOC00MzhhLThhYzQtMmU1OTFiZGU3YzMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Harrag,male,NA,NA,NA
Harry Strickland,male,NA,Grey Worm,https://images-na.ssl-images-amazon.com/images/M/MV5BZGVkZjRkMzUtMzgzYy00YzcyLThhZmMtNDMxMGNmNGRmNWQyXkEyXkFqcGdeQXVyNDgzNTg0OTA@._V1._SX100_SY140_.jpg
Henk,male,NA,NA,NA
High Septon,male,NA,Kings Landing Rioters,NA
High Septon,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNDYyYTc3OTgtMmE1Mi00NDVmLWIyNjYtOTIwNDAyYmVmN2E5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
High Sparrow,male,NA,Cersei Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTk0MjExMF5BMl5BanBnXkFtZTgwODk5Njk5NzE@._V1._SX100_SY140_.jpg
Hizdahr zo Loraq,male,NA,Sons of the Harpy,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4YjdmZjItYmExNi00YmNlLWJjZmYtNWEwMmEzNGFjYmFjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Hodor,male,NA,Wights,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMzU4MDEyNF5BMl5BanBnXkFtZTcwNDM2ODg4OQ@@._V1._SX100_SY140_.jpg
Hog Farmer,male,NA,NA,NA
Hoster Tully,male,Tully,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY3YzMzOWUtNzNjYi00ODYzLThjNjUtNzc4NzFlNmE2NjgyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Hot Pie,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyNTI4NDg4M15BMl5BanBnXkFtZTcwNDk4NDk4OQ@@._V1._SX100_SY140_.jpg
Howland Reed,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdkNjRkMTAtZGMwOS00OTA4LWE5NzktNDIyOTNiOTM0ZjkxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Hugh of the Vale,male,NA,Gregor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BODRhNGQwNDgtNDEwNS00MWRlLWJmZTQtMTJlNjNmZTI1ZDk5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Iggo,male,NA,NA,NA
Illyrio Mopatis,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM1OWY0ZmUtNWM5Ny00NzgzLWFhMmUtOWY1Njc3NmNkZmM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Ilyn Payne,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOGY5ZGE1OGUtODYwNS00OTVlLWE1MWItMzI5NDBmYWIwZTI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Innkeeper,male,NA,NA,NA
Ironborn #1,male,NA,NA,NA
Ironborn #2,male,NA,NA,NA
Ironborn #3,male,NA,NA,NA
Ironborn Abusing a Volantene Whore,male,NA,NA,NA
Ironborn at Brothel,male,NA,NA,NA
Ironborn in Skiff,male,NA,NA,NA
Izembaro,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BN2NkZmFkMmItNzhiMy00ZTJkLThjM2YtNzBhMzU0ZmJkZjI4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Jacks,male,NA,NA,NA
Jafer Flowers,male,NA,White Walker,NA
Jaime Lannister,male,Lannister,Roof collapse,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzU1NjM1MF5BMl5BanBnXkFtZTcwMzIxODg4OQ@@._V1._SX100_SY140_.jpg
Janos Slynt,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BNGUwMzllZGEtZjdkZi00NTgwLTgxY2UtODFhZjZlZDNmN2ZkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY100_SX100_AL_.jpg
Jaqen H'ghar,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1MjI5MzYwNzNeQTJeQWpwZ15BbWU3MDkxNDcxOTk@._V1._SX100_SY140_.jpg
Jaqen's Disguise,male,NA,NA,NA
Jaremy Rykker,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMjg4YjRmMDYtZjcyMS00YjM3LTg4OWQtZTg2MDFiZTJkZDIwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Jeor Mormont,male,Mormont,Rast,https://images-na.ssl-images-amazon.com/images/M/MV5BODAwODYyNzk0NV5BMl5BanBnXkFtZTcwNDI2NDk4OQ@@._V1._SX100_SY140_.jpg
Joffrey Baratheon,male,Baratheon,Petyr Baelish/Olenna Tyrell,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NDg5MTAwMl5BMl5BanBnXkFtZTcwOTIwODg4OQ@@._V1._SX100_SY140_.jpg
Jojen Reed,male,NA,Meera Reed,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTU4MTk4M15BMl5BanBnXkFtZTcwMTE4MTE5OQ@@._V1._SX100_SY140_.jpg
Jon Arryn,male,NA,Lysa Arryn,https://images-na.ssl-images-amazon.com/images/M/MV5BYmJiMzVjYzEtODA2ZC00NTkwLWI1ZDEtNDUxM2Y1NzcxZjU0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
Jon Snow,male,Stark,Alliser Thorne/Othell Yarwyck/Bowen Marsh/Olly,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMjUxMDk2OV5BMl5BanBnXkFtZTcwMzg3MTg4OQ@@._V1._SX100_SY140_.jpg
Jonos Bracken,male,NA,NA,NA
Jorah Mormont,male,Mormont,Wights,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNTcxMDI2NV5BMl5BanBnXkFtZTcwMzgxNzI4OQ@@._V1._CR225,437,407,405._SX100_SY140_.jpg"
Jory Cassel,male,NA,Jaime Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BZTg3OGE5MDktNmYxOS00YmFiLWFjMDYtMTBkMjlhYWJhZjYzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Joss,male,NA,NA,NA
Karl Tanner,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BNDEwZGVlODEtM2VhNC00ZjJmLTlmMjAtNzBlNTdmOTcwZGY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Karstark Lookout,male,NA,NA,NA
Kegs,male,NA,Wildling,NA
Kesh,male,NA,NA,NA
Kevan Lannister,male,Lannister,Cersei Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMjZkMzliOWYtODIwNS00ZTU2LWIxNTAtYjFlNTA1YjdhNzc4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Kevin Eldon,male,NA,NA,NA
Khal Brozho,male,NA,NA,NA
Khal Drogo,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMTE2MjczM15BMl5BanBnXkFtZTcwMDA5NDk4OQ@@._V1._SX100_SY140_.jpg
Khal Forzho,male,NA,NA,NA
Khal Moro,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BN2ZkODIwY2MtNzViYS00NDEwLWE2ZjItZDFiMzg1MWVjMzQwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Khal Qorro,male,NA,NA,NA
Khal Rhalko,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BYTFkMWRiMDItN2Q2Ny00N2VlLWIxMzYtZDMwODkwNDE4ZTYyXkEyXkFqcGdeQXVyMTk0NzA0Njg@._V1._SX100_SY140_.jpg
King Balon Greyjoy Dwarf,male,NA,NA,NA
King Joffrey Baratheon Dwarf,male,NA,NA,NA
King Renly Baratheon Dwarf,male,NA,NA,NA
King Robb Stark Dwarf,male,NA,NA,NA
King Stannis Baratheon Dwarf,male,NA,NA,NA
King's Landing Baker,male,NA,NA,NA
King's Landing Boaster,male,NA,NA,NA
King's Landing Drunkard,male,NA,NA,NA
King's Landing Flasher #1,male,NA,NA,NA
King's Landing Flasher #2,male,NA,NA,NA
King's Landing Rioter #1,male,NA,Sandor Clegane,NA
King's Landing Rioter #2,male,NA,Sandor Clegane,NA
King's Landing Rioter #3,male,NA,Sandor Clegane,NA
King's Landing Tailor,male,NA,NA,NA
Koner,male,NA,NA,NA
Kovarro,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BZjRmMzgyY2QtMzNmYy00NmRhLWIxNzItOGEwOWU2MzA5YjUwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Kraznys mo Nakloz,male,NA,Drogon,https://images-na.ssl-images-amazon.com/images/M/MV5BMWIzZGY0NWUtMmM1OC00NDYzLTkxMjYtM2I1MGM5MTkzODMwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Lancel Lannister,male,Lannister,Cersei Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MTQ5MzEzNV5BMl5BanBnXkFtZTgwNTQ4MDA2NTE@._V1._SX100_SY140_.jpg
Lannister Captain,male,NA,NA,NA
Lannister Captain,male,NA,NA,NA
Lannister Guard,male,NA,NA,NA
Lannister Guard #1,male,NA,NA,NA
Lannister Guard #2,male,NA,NA,NA
Lannister Messenger,male,NA,NA,NA
Lannister Scout,male,NA,NA,NA
Lannister Soldier,male,NA,NA,NA
Laurence Spellman,male,NA,NA,NA
Lead Dornish Guard,male,NA,Bronn,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMzM5ODM3OV5BMl5BanBnXkFtZTgwMjU1ODg2NTE@._V1._SX100_SY140_.jpg
Lead Kingsguard,male,NA,NA,NA
Lem Lemoncloak,male,NA,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BZWYxOGUwODAtZmY0MS00OTFkLWI0YTUtZTkxNjI1ZjE1YmJhXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Leo Lefford,male,NA,NA,NA
Little Bird,male,NA,NA,NA
Little Bird,male,NA,NA,NA
Little Bird #3,male,NA,NA,NA
Little Bird #4,male,NA,NA,NA
Little Bird #5,male,NA,NA,NA
Little Bird #6,male,NA,NA,NA
Little Bird #7,male,NA,NA,NA
Loboda,male,NA,White Walker,https://images-na.ssl-images-amazon.com/images/M/MV5BMDU5NzIxYzQtNDExMi00YTljLThiNjItMWIxNDEwZTJhNjZkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Locke,male,NA,Hodor,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg1MDM2ODE0MF5BMl5BanBnXkFtZTcwNzM4MzA0OQ@@._V1._SX100_SY140_.jpg
Lommy Greenhands,male,NA,Polliver,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MWUxMzYtMTAxNy00M2MzLTk5N2QtOTY1ZTE1ZGE2OTU4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Loras Tyrell,male,Tyrell,Cersei Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BNzcwNDAxZGMtODU1Mi00YzA2LWJhMzYtN2FjZjg2YWZlMTQ4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Lord #1,male,NA,NA,NA
Lord #2,male,NA,NA,NA
Lord #3,male,NA,NA,NA
Lord #4,male,NA,NA,NA
Lord Blackmont,male,NA,NA,NA
Lord Portan,male,NA,NA,NA
Lord Varys,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNDk2MjczM15BMl5BanBnXkFtZTcwODk0ODg4OQ@@._V1._SX100_SY140_.jpg
Lordsport Dockhand,male,NA,NA,NA
