sceneStart,sceneEnd,location,subLocation,episodeId,duration,nbc,sceneId,nbdeath
0:09:18,0:11:44,The North,Winterfell,2,146,3,39,0
0:11:44,0:13:26,The North,Winterfell,2,102,2,40,0
0:13:26,0:15:43,The North,Winterfell,2,137,3,41,0
0:15:43,0:19:22,The North,Winterfell,2,219,4,42,0
0:19:22,0:20:07,The North,Winterfell,2,45,2,43,0
0:20:07,0:21:51,The North,Winterfell,2,104,4,44,0
0:21:51,0:25:10,The North,The Kingsroad South to King's Landing,2,199,2,45,0
0:25:10,0:25:56,The Dothraki Sea,Dothraki Camp,2,46,5,46,0
0:25:56,0:29:16,The North,North to the Wall,2,200,5,47,0
0:29:16,0:32:28,The North,Winterfell,2,192,6,48,1
0:32:28,0:34:21,The Dothraki Sea,Dothraki Camp,2,113,7,49,0
0:34:21,0:34:53,The Wall,The Gift,2,32,3,50,0
0:34:53,0:36:12,The North,Winterfell,2,79,1,51,0
0:36:12,0:38:01,The North,Winterfell,2,109,5,52,0
0:38:01,0:38:54,The North,Winterfell,2,53,2,53,0
0:38:54,0:40:37,The Dothraki Sea,Dothraki Camp,2,103,2,54,0
0:40:37,0:42:47,The Dothraki Sea,Dothraki Camp,2,130,5,55,0
0:42:47,0:44:38,The Riverlands,Crossroads Inn,2,111,5,56,0
0:44:38,0:47:21,The Riverlands,Crossroads Inn,2,163,5,57,0
0:47:21,0:48:12,The Riverlands,Crossroads Inn,2,51,2,58,0
0:48:12,0:48:50,The Riverlands,Crossroads Inn,2,38,2,59,0
0:48:50,0:52:59,The Riverlands,Crossroads Inn,2,249,8,60,0
0:52:59,0:53:30,The Riverlands,Crossroads Inn,2,31,3,61,1
0:53:30,0:53:41,The North,Winterfell,2,11,2,62,0
0:53:41,0:54:09,The Riverlands,Crossroads Inn,2,28,2,63,0
0:54:09,0:54:25,The North,Winterfell,2,16,2,64,0
0:54:25,0:54:35,The Riverlands,Crossroads Inn,2,10,2,65,1
0:54:35,0:54:44,The North,Winterfell,2,9,2,66,0
0:01:47,0:02:42,The Crownlands,King's Landing,3,55,6,67,0
0:02:42,0:05:17,The Crownlands,King's Landing,3,155,2,68,0
0:05:17,0:08:11,The Crownlands,King's Landing,3,174,5,69,0
0:08:11,0:10:50,The Crownlands,King's Landing,3,159,2,70,0
0:10:50,0:12:11,The Crownlands,King's Landing,3,81,4,71,0
0:12:11,0:15:48,The Crownlands,King's Landing,3,217,2,72,0
0:15:48,0:18:50,The North,Winterfell,3,182,3,73,0
0:18:50,0:21:42,The Crownlands,King's Landing,3,172,4,74,0
0:21:42,0:23:18,The Wall,Castle Black,3,96,7,75,0
0:23:18,0:24:07,The Crownlands,King's Landing,3,49,3,76,0
0:24:07,0:24:42,The Crownlands,King's Landing,3,35,3,77,0
0:24:42,0:26:42,The Wall,Castle Black,3,120,5,78,0
0:26:42,0:27:19,The Crownlands,King's Landing,3,37,3,79,0
0:27:19,0:28:28,The Crownlands,King's Landing,3,69,2,80,0
0:28:28,0:30:07,The Crownlands,King's Landing,3,99,4,81,0
0:30:07,0:34:39,The Crownlands,King's Landing,3,272,4,82,0
0:34:39,0:38:17,The Dothraki Sea,NA,3,218,6,83,0
0:38:17,0:41:52,The Wall,Castle Black,3,215,2,84,0
0:41:52,0:45:46,The Wall,Castle Black,3,234,3,85,0
0:45:46,0:46:24,The Dothraki Sea,Dothraki Camp,3,38,2,86,0
0:46:24,0:48:38,The Dothraki Sea,Dothraki Camp,3,134,3,87,0
0:48:38,0:50:41,The Wall,Castle Black,3,123,7,88,0
0:50:41,0:51:30,The Dothraki Sea,Dothraki Camp,3,49,5,89,0
0:51:30,0:52:32,The Wall,Castle Black,3,62,2,90,0
0:52:32,0:56:04,The Crownlands,King's Landing,3,212,3,91,0
0:01:47,0:02:36,The North,Winterfell,4,49,2,92,0
0:02:36,0:03:30,The North,Winterfell,4,54,5,93,0
0:03:30,0:05:13,The North,Winterfell,4,103,8,94,0
0:05:13,0:06:40,The North,Winterfell,4,87,2,95,0
0:06:40,0:10:11,The Wall,Castle Black,4,211,6,96,0
0:10:11,0:11:21,Vaes Dothrak,NA,4,70,4,97,0
0:11:21,0:12:17,Vaes Dothrak,NA,4,56,2,98,0
0:12:17,0:17:10,Vaes Dothrak,NA,4,293,2,99,0
0:17:10,0:18:53,The Crownlands,King's Landing,4,103,2,100,0
0:18:53,0:21:17,The Crownlands,King's Landing,4,144,6,101,0
0:21:17,0:23:42,The Crownlands,King's Landing,4,145,2,102,0
0:23:42,0:25:30,The Crownlands,King's Landing,4,108,2,103,0
0:25:30,0:27:42,The Wall,Castle Black,4,132,2,104,0
0:27:42,0:29:30,The Crownlands,King's Landing,4,108,2,105,0
0:29:30,0:30:03,The Crownlands,King's Landing,4,33,2,106,0
0:30:03,0:30:24,The Crownlands,King's Landing,4,21,2,107,0
0:30:24,0:32:21,The Crownlands,King's Landing,4,117,3,108,0
0:32:21,0:32:30,The Crownlands,King's Landing,4,9,2,109,0
0:32:30,0:34:27,The Crownlands,King's Landing,4,117,2,110,0
0:34:27,0:35:28,The Wall,Castle Black,4,61,4,111,0
0:35:28,0:35:54,The Wall,Castle Black,4,26,5,112,0
0:35:54,0:37:12,The Wall,Castle Black,4,78,6,113,0
0:37:12,0:38:33,Vaes Dothrak,NA,4,81,4,114,0
0:38:33,0:44:32,The Wall,Castle Black,4,359,3,115,0
0:44:32,0:45:38,Vaes Dothrak,NA,4,66,2,116,0
0:45:38,0:49:47,The Crownlands,King's Landing,4,249,14,117,1
0:49:47,0:51:27,The Crownlands,King's Landing,4,100,3,118,0
0:51:27,0:54:31,The Riverlands,Crossroads Inn,4,184,6,119,0
0:01:53,0:02:18,The Crownlands,King's Landing,5,25,1,120,0
0:02:18,0:02:55,The Crownlands,King's Landing,5,37,3,121,1
0:02:55,0:03:50,The Crownlands,King's Landing,5,55,2,122,0
0:03:50,0:06:23,The Crownlands,King's Landing,5,153,3,123,0
0:06:23,0:10:22,The Crownlands,King's Landing,5,239,14,124,0
0:10:22,0:13:40,The Vale,Eastern Road,5,198,5,125,0
0:13:40,0:16:15,The North,Winterfell,5,155,3,126,0
0:16:15,0:17:59,The North,Winterfell,5,104,2,127,0
0:17:59,0:18:13,The Crownlands,King's Landing,5,14,1,128,0
0:18:13,0:20:47,The Crownlands,King's Landing,5,154,3,129,0
0:20:47,0:22:17,The Crownlands,King's Landing,5,90,3,130,0
0:22:17,0:25:50,The Crownlands,King's Landing,5,213,3,131,0
0:25:50,0:26:51,The Crownlands,King's Landing,5,61,1,132,0
0:26:51,0:28:35,The Crownlands,King's Landing,5,104,4,133,0
0:28:35,0:28:50,The Crownlands,King's Landing,5,15,2,134,0
0:28:50,0:29:03,The Crownlands,King's Landing,5,13,2,135,0
0:29:03,0:30:13,The Vale,Eastern Road,5,70,5,136,0
0:30:13,0:30:31,The Crownlands,King's Landing,5,18,2,137,0
0:30:31,0:34:06,The Crownlands,King's Landing,5,215,6,138,0
0:34:06,0:34:15,The Crownlands,King's Landing,5,9,1,139,0
0:34:15,0:35:13,The Crownlands,King's Landing,5,58,3,140,0
0:35:13,0:37:12,The Vale,The Eyrie,5,119,5,141,0
0:37:12,0:37:53,The Vale,The Eyrie,5,41,2,142,0
0:37:53,0:41:50,The Crownlands,King's Landing,5,237,2,143,0
0:41:50,0:48:09,The Crownlands,King's Landing,5,379,2,144,0
0:48:09,0:49:05,The Crownlands,King's Landing,5,56,2,145,0
0:49:05,0:49:53,The Crownlands,King's Landing,5,48,3,146,0
0:49:53,0:53:06,The Crownlands,King's Landing,5,193,4,147,1
0:01:53,0:06:22,The Crownlands,King's Landing,6,269,3,148,0
0:06:22,0:07:50,Vaes Dothrak,NA,6,88,5,149,0
0:07:50,0:08:25,The North,Winterfell,6,35,2,150,0
0:08:25,0:08:36,The North,Winterfell,6,11,2,151,0
0:08:36,0:09:42,The North,The Wolfswood,6,66,3,152,0
0:09:42,0:13:09,The North,The Wolfswood,6,207,6,153,2
0:13:09,0:14:16,The Vale,The Eyrie,6,67,2,154,0
0:14:16,0:16:08,The Crownlands,King's Landing,6,112,2,155,0
0:16:08,0:19:39,Vaes Dothrak,NA,6,211,8,156,0
0:19:39,0:21:54,Vaes Dothrak,NA,6,135,5,157,0
0:21:54,0:23:52,The Vale,The Eyrie,6,118,2,158,0
0:23:52,0:29:27,The Vale,The Eyrie,6,335,7,159,0
0:29:27,0:31:20,The Crownlands,The Kingswood,6,113,4,160,0
0:31:20,0:35:25,The Crownlands,King's Landing,6,245,5,161,0
0:35:25,0:39:52,The Vale,The Eyrie,6,267,8,162,1
0:39:52,0:42:45,The Crownlands,King's Landing,6,173,3,163,0
0:42:45,0:44:18,The North,Winterfell,6,93,2,164,0
0:44:18,0:46:45,The Crownlands,King's Landing,6,147,3,165,0
0:46:45,0:51:30,Vaes Dothrak,NA,6,285,7,166,1
0:01:52,0:06:35,The Westerlands,Lannister Camp,7,283,2,167,0
0:06:35,0:09:36,The Crownlands,King's Landing,7,181,2,168,0
0:09:36,0:14:40,The Crownlands,King's Landing,7,304,3,169,0
0:14:40,0:18:22,The North,Winterfell,7,222,3,170,0
0:18:22,0:19:14,The Wall,Castle Black,7,52,2,171,0
0:19:14,0:19:59,The Wall,Castle Black,7,45,3,172,0
0:19:59,0:20:13,The Crownlands,King's Landing,7,14,2,173,0
0:20:13,0:25:08,The Crownlands,King's Landing,7,295,7,174,0
0:25:08,0:26:45,The Crownlands,King's Landing,7,97,5,175,0
0:26:45,0:28:08,Vaes Dothrak,NA,7,83,2,176,0
0:28:08,0:29:12,Vaes Dothrak,NA,7,64,5,177,0
0:29:12,0:29:45,Vaes Dothrak,NA,7,33,2,178,0
0:29:45,0:32:56,Vaes Dothrak,NA,7,191,6,179,0
0:32:56,0:38:26,The Wall,Castle Black,7,330,10,180,0
0:38:26,0:40:12,The Wall,Castle Black,7,106,3,181,0
0:40:12,0:42:19,The Crownlands,King's Landing,7,127,2,182,0
0:42:19,0:45:49,The Crownlands,King's Landing,7,210,3,183,0
0:45:49,0:46:27,The Wall,Castle Black,7,38,4,184,0
0:46:27,0:47:57,North of the Wall,The Haunted Forest,7,90,4,185,0
0:47:57,0:51:36,Vaes Dothrak,NA,7,219,5,186,0
0:51:36,0:51:57,Vaes Dothrak,NA,7,21,5,187,0
0:51:57,0:52:17,The Crownlands,King's Landing,7,20,4,188,1
0:52:17,0:52:58,The Crownlands,King's Landing,7,41,3,189,0
0:52:58,0:53:12,The Crownlands,King's Landing,7,14,5,190,0
0:53:12,0:56:41,The Crownlands,King's Landing,7,209,9,191,0
0:01:53,0:02:00,The Crownlands,King's Landing,8,7,2,192,0
0:02:14,0:02:22,The Crownlands,King's Landing,8,8,2,193,0
0:02:22,0:02:37,The Crownlands,King's Landing,8,15,1,194,1
0:02:37,0:03:19,The Crownlands,King's Landing,8,42,2,195,0
0:03:19,0:05:53,The Crownlands,King's Landing,8,154,3,196,1
0:05:53,0:06:14,The Crownlands,King's Landing,8,21,1,197,0
0:06:14,0:06:35,The Crownlands,King's Landing,8,21,2,198,0
0:06:35,0:07:12,The Crownlands,King's Landing,8,37,2,199,1
0:07:12,0:10:14,The Crownlands,King's Landing,8,182,2,200,0
0:10:14,0:11:30,The Wall,Castle Black,8,76,6,201,2
0:11:30,0:12:59,The Wall,Castle Black,8,89,2,202,0
0:12:59,0:15:11,The Crownlands,King's Landing,8,132,5,203,0
0:15:11,0:16:24,The North,Winterfell,8,73,3,204,0
0:16:37,0:18:31,The Vale,The Eyrie,8,114,3,205,0
0:18:31,0:19:54,The Vale,To the Westerlands,8,83,2,206,0
0:19:54,0:22:45,The Vale,To the Westerlands,8,171,3,207,0
0:22:45,0:23:53,The Wall,Castle Black,8,68,6,208,0
0:23:53,0:24:48,The Wall,Castle Black,8,55,2,209,0
0:24:48,0:26:14,The Wall,Castle Black,8,86,4,210,1
0:26:14,0:28:20,The Dothraki Sea,Lhazareen Village,8,126,7,211,0
0:28:20,0:32:33,The Dothraki Sea,Lhazareen Village,8,253,9,212,1
0:32:33,0:34:17,The North,Winterfell,8,104,5,213,0
0:34:17,0:36:19,The North,Winterfell,8,122,3,214,0
0:36:19,0:38:35,The North,Winterfell,8,136,3,215,0
0:38:35,0:39:45,The Wall,Castle Black,8,70,5,216,0
0:39:45,0:40:10,The North,The Neck,8,25,2,217,0
0:40:10,0:41:18,The North,The Neck,8,68,5,218,0
0:41:18,0:43:21,The North,The Neck,8,123,2,219,0
0:43:21,0:44:34,The Westerlands,Lannister Camp,8,73,4,220,0
0:44:34,0:47:52,The Westerlands,Lannister Camp,8,198,8,221,0
0:47:52,0:48:25,The North,The Neck,8,33,5,222,0
0:48:25,0:48:32,The North,The Neck,8,7,1,223,0
0:48:32,0:50:40,The North,The Neck,8,128,6,224,0
0:50:40,0:50:50,The Crownlands,King's Landing,8,10,1,225,0
0:50:50,0:56:59,The Crownlands,King's Landing,8,369,11,226,0
0:02:24,0:06:25,The Crownlands,King's Landing,9,241,2,227,0
0:06:25,0:08:12,The Riverlands,The Twins,9,107,5,228,0
0:08:12,0:09:48,The Riverlands,The Twins,9,96,5,229,0
0:09:48,0:11:41,The Riverlands,The Twins,9,113,2,230,0
0:11:41,0:13:56,The Wall,Castle Black,9,135,2,231,0
0:13:56,0:14:12,The Wall,Castle Black,9,16,1,232,0
0:14:12,0:15:35,The Wall,Castle Black,9,83,5,233,0
0:15:35,0:15:49,The Riverlands,The Twins,9,14,1,234,0
0:15:49,0:17:31,The Riverlands,The Twins,9,102,5,235,0
0:17:58,0:21:38,The Wall,Castle Black,9,220,2,236,0
0:21:38,0:23:19,The Red Waste,The Desert,9,101,4,237,0
0:23:19,0:25:07,The Riverlands,Lannister Camp,9,108,3,238,0
0:25:07,0:27:41,The Riverlands,Lannister Camp,9,154,3,239,0
0:27:41,0:35:26,The Red Waste,NA,9,465,8,240,1
0:35:26,0:42:44,The Riverlands,Lannister Camp,9,438,3,241,0
0:42:44,0:43:40,The Riverlands,Lannister Camp,9,56,3,242,0
0:43:40,0:44:04,The Riverlands,Lannister Camp,9,24,2,243,0
0:44:04,0:44:52,The Riverlands,Lannister Camp,9,48,5,244,0
0:44:52,0:46:31,The Riverlands,Battlefield,9,99,3,245,0
0:46:31,0:46:52,The Riverlands,Riverrun,9,21,2,246,0
0:46:52,0:47:23,The Riverlands,Riverrun,9,31,3,247,0
0:47:23,0:49:26,The Riverlands,Riverrun,9,123,6,248,0
0:49:26,0:50:24,The Crownlands,King's Landing,9,58,3,249,0
0:50:24,0:55:54,The Crownlands,King's Landing,9,330,11,250,1
0:02:17,0:03:03,The Crownlands,King's Landing,10,46,7,251,1
0:03:03,0:03:25,The Crownlands,King's Landing,10,22,2,252,0
0:03:25,0:03:53,The North,Winterfell,10,28,2,253,0
0:03:53,0:04:24,The North,Winterfell,10,31,3,254,0
0:04:24,0:05:40,The North,Winterfell,10,76,4,255,0
0:05:40,0:06:07,The North,Winterfell,10,27,3,256,0
0:06:07,0:08:07,The Riverlands,Camp of the North,10,120,2,257,0
0:08:07,0:10:52,The Crownlands,King's Landing,10,165,7,258,0
0:10:52,0:13:32,The Crownlands,King's Landing,10,160,6,259,2
0:13:32,0:15:48,The Riverlands,Camp of the North,10,136,7,260,0
0:15:48,0:18:51,The Riverlands,Camp of the North,10,183,2,261,0
0:18:51,0:19:23,The Crownlands,King's Landing,10,32,2,262,0
0:19:23,0:20:39,The Riverlands,Lannister Camp,10,76,5,263,0
0:20:39,0:22:37,The Riverlands,Lannister Camp,10,118,2,264,0
0:22:37,0:24:30,The Red Waste,NA,10,113,4,265,1
0:24:30,0:26:07,The Red Waste,NA,10,97,6,266,0
0:26:07,0:27:31,The Red Waste,NA,10,84,2,267,0
0:27:31,0:28:28,The Wall,Castle Black,10,57,3,268,0
0:28:28,0:29:52,The Riverlands,Lannister Camp,10,84,2,269,0
0:29:52,0:31:55,The North,The Gift,10,123,5,270,0
0:31:55,0:33:02,The Red Waste,NA,10,67,2,271,0
0:33:02,0:34:28,The Red Waste,NA,10,86,2,272,1
0:34:28,0:37:33,The Crownlands,King's Landing,10,185,2,273,0
0:37:33,0:37:52,The Crownlands,King's Landing,10,19,1,274,0
0:37:52,0:39:58,The Crownlands,King's Landing,10,126,3,275,0
0:39:58,0:40:38,The Crownlands,King's Landing,10,40,2,276,0
0:40:38,0:40:48,The Crownlands,King's Landing,10,10,2,277,0
0:40:48,0:43:03,The Crownlands,King's Landing,10,135,5,278,0
0:43:03,0:45:00,The Wall,Castle Black,10,117,2,279,0
0:45:00,0:45:46,The Wall,Castle Black,10,46,2,280,0
0:45:46,0:50:09,The Red Waste,NA,10,263,8,281,2
0:50:09,0:51:57,The Red Waste,NA,10,108,6,282,0
0:02:29,0:03:08,The Crownlands,King's Landing,11,39,4,283,0
0:03:12,0:06:54,The Crownlands,King's Landing,11,222,9,284,0
0:06:54,0:09:13,The Crownlands,King's Landing,11,139,6,285,0
0:09:13,0:10:50,The Crownlands,King's Landing,11,97,2,286,0
0:10:50,0:12:46,The North,Winterfell,11,116,4,287,0
0:12:46,0:13:19,The North,Winterfell,11,33,1,288,0
0:13:19,0:13:26,The North,Winterfell,11,7,1,289,0
0:13:26,0:14:50,The North,Winterfell,11,84,3,290,0
0:14:50,0:17:55,The Red Waste,NA,11,185,7,291,0
0:17:55,0:18:48,The Red Waste,NA,11,53,2,292,0
0:18:48,0:19:23,North of the Wall,Craster's Keep,11,35,4,293,0
0:19:23,0:20:31,North of the Wall,Craster's Keep,11,68,4,294,0
0:20:31,0:24:30,North of the Wall,Craster's Keep,11,239,4,295,0
0:24:30,0:25:02,North of the Wall,Craster's Keep,11,32,2,296,0
0:25:02,0:28:11,The Crownlands,Dragonstone,11,189,6,297,0
0:28:11,0:29:10,The Crownlands,Dragonstone,11,59,2,298,0
0:29:10,0:32:14,The Crownlands,Dragonstone,11,184,5,299,1
0:32:14,0:35:42,The Riverlands,Camp of the North,11,208,3,300,0
0:35:42,0:37:21,The Crownlands,King's Landing,11,99,2,301,0
0:37:21,0:40:06,The Crownlands,King's Landing,11,165,2,302,0
0:40:06,0:41:38,The Riverlands,Camp of the North,11,92,4,303,0
0:41:38,0:42:46,The Riverlands,Camp of the North,11,68,2,304,0
0:42:46,0:45:37,The Riverlands,Camp of the North,11,171,2,305,0
0:45:37,0:48:02,The Crownlands,King's Landing,11,145,2,306,0
0:48:02,0:48:27,The Crownlands,King's Landing,11,25,3,307,0
0:48:27,0:50:32,The Crownlands,King's Landing,11,125,5,308,1
0:51:00,0:51:23,The Crownlands,King's Landing,11,23,2,309,0
0:51:23,0:51:52,The Riverlands,The Kingsroad,11,29,4,310,0
0:01:55,0:02:08,The Riverlands,The Kingsroad,12,13,1,311,0
0:02:08,0:03:33,The Riverlands,The Kingsroad,12,85,5,312,0
0:03:33,0:05:46,The Riverlands,The Kingsroad,12,133,4,313,0
0:05:46,0:08:16,The Crownlands,King's Landing,12,150,3,314,0
0:08:16,0:09:05,The Crownlands,King's Landing,12,49,6,315,0
0:09:05,0:10:22,The Crownlands,King's Landing,12,77,6,316,0
0:10:22,0:11:51,North of the Wall,Craster's Keep,12,89,3,317,0
0:11:51,0:12:37,North of the Wall,Craster's Keep,12,46,3,318,0
0:12:37,0:14:40,North of the Wall,Craster's Keep,12,123,3,319,0
0:14:40,0:17:31,The Red Waste,NA,12,171,5,320,1
0:17:31,0:17:54,The Sunset Sea,NA,12,23,1,321,0
0:17:54,0:19:53,The Sunset Sea,NA,12,119,2,322,0
0:19:53,0:20:48,The Crownlands,King's Landing,12,55,3,323,0
0:20:48,0:24:17,The Crownlands,King's Landing,12,209,2,324,0
0:24:17,0:24:32,The Crownlands,King's Landing,12,15,3,325,0
0:24:32,0:27:32,The Crownlands,King's Landing,12,180,3,326,0
0:27:32,0:28:03,The Crownlands,King's Landing,12,31,2,327,0
0:28:03,0:29:31,The Riverlands,The Kingsroad,12,88,4,328,0
0:29:31,0:31:59,The Riverlands,The Kingsroad,12,148,2,329,0
0:31:59,0:33:18,The Iron Islands,Lordsport,12,79,2,330,0
0:33:18,0:33:53,The Iron Islands,Lordsport,12,35,2,331,0
0:33:53,0:35:01,The Iron Islands,Pyke,12,68,2,332,0
0:35:01,0:37:47,The Iron Islands,Pyke,12,166,2,333,0
0:37:47,0:39:12,The Iron Islands,Pyke,12,85,3,334,0
0:39:12,0:42:24,The Crownlands,Dragonstone,12,192,3,335,0
0:42:24,0:43:32,The Crownlands,Dragonstone,12,68,2,336,0
0:43:32,0:46:03,The Crownlands,King's Landing,12,151,2,337,0
0:46:03,0:47:16,The Crownlands,Dragonstone,12,73,4,338,0
0:47:16,0:49:57,The Crownlands,Dragonstone,12,161,2,339,0
0:49:57,0:51:39,North of the Wall,Craster's Keep,12,102,2,340,0
0:51:39,0:52:09,North of the Wall,Craster's Keep,12,30,3,341,0
0:01:53,0:02:30,North of the Wall,Craster's Keep,13,37,3,342,0
0:02:30,0:04:24,North of the Wall,Craster's Keep,13,114,3,343,0
0:04:24,0:05:53,North of the Wall,Craster's Keep,13,89,2,344,0
0:05:53,0:06:11,The North,Winterfell,13,18,2,345,0
0:06:11,0:06:44,The North,Winterfell,13,33,3,346,0
0:06:44,0:09:16,The North,Winterfell,13,152,2,347,0
0:09:16,0:13:24,The Stormlands,Storm's End,13,248,6,348,0
0:13:24,0:14:19,The Stormlands,Storm's End,13,55,4,349,0
0:14:19,0:14:45,The Stormlands,Storm's End,13,26,2,350,0
0:14:45,0:18:40,The Iron Islands,Pyke,13,235,3,351,0
0:18:40,0:19:03,The Iron Islands,Pyke,13,23,2,352,0
0:19:03,0:20:43,The Crownlands,King's Landing,13,100,2,353,0
0:20:43,0:22:11,The Crownlands,King's Landing,13,88,4,354,0
0:22:11,0:24:24,The Crownlands,King's Landing,13,133,2,355,0
0:24:24,0:25:43,The Crownlands,King's Landing,13,79,2,356,0
0:25:43,0:26:24,The Crownlands,King's Landing,13,41,2,357,0
0:26:24,0:28:21,The Crownlands,King's Landing,13,117,2,358,0
0:28:21,0:30:26,The Stormlands,Storm's End,13,125,2,359,0
0:30:26,0:33:39,The Stormlands,Storm's End,13,193,2,360,0
0:33:39,0:35:01,The Crownlands,King's Landing,13,82,2,361,0
0:35:01,0:35:37,The Iron Islands,Pyke,13,36,1,362,0
0:35:37,0:36:58,The Iron Islands,Pyke,13,81,4,363,0
0:36:58,0:38:12,The Crownlands,King's Landing,13,74,3,364,0
0:38:12,0:40:20,The Crownlands,King's Landing,13,128,5,365,0
0:40:20,0:42:11,The Crownlands,King's Landing,13,111,2,366,0
0:42:11,0:46:28,The Riverlands,The Kingsroad,13,257,3,367,0
0:46:28,0:47:01,The Riverlands,The Kingsroad,13,33,5,368,0
0:47:01,0:48:33,The Riverlands,The Kingsroad,13,92,5,369,1
0:48:33,0:50:32,The Riverlands,The Kingsroad,13,119,6,370,1
0:50:32,0:51:22,The Riverlands,The Kingsroad,13,50,6,371,2
0:01:53,0:03:42,The Westerlands,Oxcross,14,109,3,372,1
0:03:42,0:03:55,The Westerlands,Oxcross,14,13,1,373,0
0:03:55,0:04:59,The Westerlands,Oxcross,14,64,3,374,1
0:04:59,0:05:18,The Westerlands,Oxcross,14,19,2,375,0
0:05:18,0:05:49,The Westerlands,Oxcross,14,31,4,376,0
0:06:00,0:07:47,The Westerlands,Oxcross,14,107,2,377,0
0:07:47,0:09:03,The Crownlands,King's Landing,14,76,5,378,0
0:09:03,0:10:39,The Crownlands,King's Landing,14,96,7,379,0
0:10:39,0:11:04,The Crownlands,King's Landing,14,25,2,380,0
0:11:04,0:11:28,The Crownlands,King's Landing,14,24,2,381,0
0:11:28,0:14:44,The Crownlands,King's Landing,14,196,3,382,0
0:14:56,0:15:09,The Stormlands,Storm's End,14,13,3,383,0
0:15:09,0:16:44,The Stormlands,Storm's End,14,95,3,384,0
0:16:44,0:17:20,The Stormlands,Storm's End,14,36,3,385,0
0:17:20,0:18:37,The Stormlands,Storm's End,14,77,2,386,0
0:18:37,0:19:42,The Red Waste,NA,14,65,4,387,0
0:19:42,0:20:29,The Riverlands,Harrenhal,14,47,3,388,0
0:20:29,0:21:30,The Riverlands,Harrenhal,14,61,4,389,0
0:21:30,0:21:58,The Riverlands,Harrenhal,14,28,1,390,0
0:21:58,0:25:46,The Stormlands,Storm's End,14,228,2,391,0
0:25:46,0:27:07,The Riverlands,Harrenhal,14,81,5,392,0
0:27:07,0:28:26,The Riverlands,Harrenhal,14,79,5,393,0
0:28:26,0:28:47,The Riverlands,Harrenhal,14,21,3,394,0
0:28:47,0:32:00,The Stormlands,Storm's End,14,193,7,395,0
0:32:00,0:37:27,Qarth,NA,14,327,6,396,0
0:37:27,0:38:15,The Riverlands,Harrenhal,14,48,6,397,1
0:38:15,0:39:50,The Riverlands,Harrenhal,14,95,7,398,0
0:39:50,0:43:41,The Crownlands,King's Landing,14,231,2,399,0
0:43:41,0:45:34,The Stormlands,Storm's End,14,113,2,400,0
0:45:34,0:46:42,The Stormlands,Storm's End,14,68,2,401,0
0:46:42,0:49:18,The Stormlands,Storm's End,14,156,2,402,0
0:01:54,0:05:17,The Stormlands,Storm's End,15,203,3,403,1
